V1 V2 V3 V4 V5
0.40625 0.375 0.393939393939394 0.393939393939394 0
0.4375 0.40625 0.393939393939394 0.454545454545455 1
0.4375 0.4375 0.424242424242424 0.454545454545455 1
0.424242424242424 0.393939393939394 0.411764705882353 0.441176470588235 1
0.424242424242424 0.363636363636364 0.393939393939394 0.424242424242424 1
0.393939393939394 0.393939393939394 0.382352941176471 0.411764705882353 1
0.382352941176471 0.352941176470588 0.371428571428571 0.371428571428571 1
0.411764705882353 0.382352941176471 0.4 0.4 1
0.411764705882353 0.411764705882353 0.411764705882353 0.441176470588235 1
0.411764705882353 0.382352941176471 0.441176470588235 0.441176470588235 1
0.411764705882353 0.382352941176471 0.411764705882353 0.411764705882353 1
0.411764705882353 0.352941176470588 0.382352941176471 0.411764705882353 1
0.424242424242424 0.363636363636364 0.382352941176471 0.411764705882353 1
0.363636363636364 0.303030303030303 0.352941176470588 0.323529411764706 1
0.166666666666667 0.2 0.2 0.2 0
0.294117647058824 0.323529411764706 0.363636363636364 0.333333333333333 0
0.34375 0.3125 0.354838709677419 0.354838709677419 0
0.28125 0.28125 0.3 0.3 0
0.382352941176471 0.352941176470588 0.371428571428571 0.342857142857143 1
0.382352941176471 0.352941176470588 0.371428571428571 0.371428571428571 1
0.371428571428571 0.342857142857143 0.4 0.4 1
0.352941176470588 0.352941176470588 0.382352941176471 0.352941176470588 1
0.363636363636364 0.333333333333333 0.382352941176471 0.352941176470588 1
0.363636363636364 0.363636363636364 0.382352941176471 0.352941176470588 1
0.352941176470588 0.323529411764706 0.382352941176471 0.323529411764706 1
0.382352941176471 0.382352941176471 0.4 0.371428571428571 1
0.4 0.342857142857143 0.388888888888889 0.361111111111111 1
0.411764705882353 0.382352941176471 0.4 0.4 1
0.352941176470588 0.323529411764706 0.382352941176471 0.352941176470588 1
0.4 0.371428571428571 0.371428571428571 0.371428571428571 1
0.411764705882353 0.382352941176471 0.388888888888889 0.388888888888889 1
0.371428571428571 0.371428571428571 0.361111111111111 0.361111111111111 1
0.114285714285714 0.114285714285714 0.15625 0.15625 0
0.342857142857143 0.314285714285714 0.342857142857143 0.371428571428571 1
0.382352941176471 0.323529411764706 0.342857142857143 0.342857142857143 1
0.323529411764706 0.294117647058824 0.323529411764706 0.323529411764706 0
0.1875 0.1875 0.258064516129032 0.258064516129032 0
0.125 0.125 0.142857142857143 0.142857142857143 0
0 0 0 0 0
0.0625 0.09375 0.107142857142857 0.107142857142857 0
0.181818181818182 0.212121212121212 0.233333333333333 0.2 0
0.125 0.15625 0.185185185185185 0.148148148148148 0
0.333333333333333 0.333333333333333 0.333333333333333 0.303030303030303 1
0.375 0.40625 0.363636363636364 0.393939393939394 1
0.393939393939394 0.393939393939394 0.382352941176471 0.382352941176471 1
0.393939393939394 0.393939393939394 0.393939393939394 0.393939393939394 1
0.363636363636364 0.363636363636364 0.352941176470588 0.352941176470588 1
0.40625 0.375 0.363636363636364 0.393939393939394 1
0.375 0.375 0.375 0.375 1
0.363636363636364 0.363636363636364 0.393939393939394 0.363636363636364 1
0.393939393939394 0.363636363636364 0.342857142857143 0.342857142857143 1
0.393939393939394 0.363636363636364 0.393939393939394 0.363636363636364 1
0.40625 0.375 0.363636363636364 0.363636363636364 1
0.375 0.375 0.382352941176471 0.352941176470588 1
0.225806451612903 0.225806451612903 0.225806451612903 0.225806451612903 0
0.34375 0.34375 0.375 0.34375 0
0.393939393939394 0.363636363636364 0.382352941176471 0.352941176470588 1
0.393939393939394 0.393939393939394 0.342857142857143 0.342857142857143 1
0.382352941176471 0.352941176470588 0.371428571428571 0.371428571428571 1
0.371428571428571 0.371428571428571 0.361111111111111 0.361111111111111 1
0.4 0.342857142857143 0.371428571428571 0.4 1
0.15625 0.125 0.1875 0.15625 0
